Lesson_No.,Problem.Hierarchy,Topics,Hints,Opportunity.SubSkills.,Opportunity.KTracedSkills.,Opportunity.Rules.,count_subskill,count_tracedskill,count_rules,Correct.First.Attempt,Step.Duration..sec.,Attempts
1,Unit absolute-value, Section absolute-value-3,2,14,14,4,1,1,1,0,14.2,2
1,Unit absolute-value, Section absolute-value-3,1,0,0,6,0,0,1,0,11.36,2
1,Unit absolute-value, Section absolute-value-3,0,0,0,14,0,0,1,1,5.68,2
1,Unit absolute-value, Section absolute-value-3,0,0,0,27,0,0,1,1,5.68,2
1,Unit absolute-value, Section absolute-value-3,0,0,0,14,0,0,1,0,5.68,2
1,Unit absolute-value, Section absolute-value-3,0,0,0,27,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,28,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,9,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,50,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,27,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,28,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,28,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,14,14,9,1,1,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,23,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-3,0,0,0,6,0,0,1,1,2.84,1
1,Unit absolute-value, Section absolute-value-1,2,1,1,1,1,1,1,0,0,3
1,Unit absolute-value, Section absolute-value-1,0,1,1,1,1,1,1,0,0,2
1,Unit absolute-value, Section absolute-value-1,2,0,0,1,0,0,1,0,0,2
1,Unit absolute-value, Section absolute-value-1,0,0,0,1,0,0,1,1,0,1
1,Unit absolute-value, Section absolute-value-1,0,0,0,1,0,0,1,1,0,1
1,Unit absolute-value, Section absolute-value-1,0,0,0,1,0,0,1,1,0,1
1,Unit absolute-value, Section absolute-value-1,0,0,0,1,0,0,1,1,0,1
1,Unit absolute-value, Section absolute-value-1,0,2,2,2,1,1,1,1,0,1
1,Unit absolute-value, Section absolute-value-1,0,2,2,2,1,1,1,1,0,1
1,Unit absolute-value, Section absolute-value-1,0,0,0,2,0,0,1,1,0,1
1,Unit absolute-value, Section absolute-value-1,0,0,0,2,0,0,1,1,0,1
